Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Ira,Miedo,Felicidad,Tristeza,Sorpresa,Disgusto
0.0,0.9957571,0.999372,0.0,0.2961576,0.0,0.0,0.19453704,0.7421842,0.0075727426,0.0052561057,0.0015610616,0.0016178925,0.07268755,0.3845171
0.0,0.992741,0.99692005,0.0,0.0,0.0,0.0,0.238812,0.7984687,0.011846571,0.011826108,0.003705126,0.00045235315,0.021796905,0.111866675
0.0,0.99800676,0.9984054,0.0,0.08035867,0.0,0.017290175,0.0,0.37745243,0.003355548,0.0042582327,0.004672754,0.0061241044,0.009570042,0.29751855
0.0,0.9964844,0.99818027,0.0,0.0,0.0,0.0,0.95837283,0.0,0.002416467,0.0015919086,0.98579687,0.011476227,0.02813038,0.003172095
0.0,0.99762183,0.9986222,0.0,0.28085655,0.0,0.0,0.0,0.9447422,0.010921509,0.0069908043,0.00079053314,0.0011745957,0.12123222,0.48414356
0.0,0.9974783,0.999193,0.0,0.42314595,0.0,0.0,0.0,0.42872256,0.016193556,0.009246069,0.0016567562,0.0038842221,0.083313465,0.11204396
0.0,0.9965957,0.9981392,0.0,0.0,0.0,0.0,0.9455004,0.0,0.004164512,0.004116035,0.97397095,0.0042643715,0.026895065,0.02373325
0.0,0.99705845,0.99951667,0.0,0.425901,0.0,0.0,0.0,0.0,0.006388672,0.0033931115,0.013293344,0.04657927,0.005370135,0.1515323
0.0,0.9993687,0.99965036,0.0,0.0,0.0,0.972345,0.0,0.62561953,0.46847394,0.5601092,0.00068619853,3.8731625e-05,0.008462555,0.008598902
0.0,0.99733156,0.9990442,0.0,0.0,0.0,0.0,0.9594963,0.0,0.0008868043,0.00055582606,0.9581179,0.025052872,0.0042857067,0.0022957101
0.0,0.99898785,0.99914956,0.0,0.0,0.0,0.19350904,0.0,0.14711738,0.0028847859,0.0042875037,0.006864672,0.005457165,0.0031237064,0.017848203
0.0,0.9990439,0.9993504,0.0,0.0,0.0,0.2831007,0.22742543,0.37964982,0.11650584,0.1262598,0.0019948902,8.801457e-05,0.007278289,0.004414531
0.0,0.99777955,0.9980606,0.0,0.0,0.0,0.9720822,0.0,0.0,0.012111078,0.013328772,0.017929457,0.005047384,0.007099315,0.5803579
0.0,0.9959607,0.99756795,0.0,0.45302677,0.0,0.0,0.0,0.7497254,0.017656501,0.02020056,0.0039036663,0.0033630114,0.0038273279,0.7778105
0.0,0.9982824,0.9990213,0.0,0.0,0.0,0.0,0.0,0.6396754,0.008449334,0.00855274,0.0020135774,0.002896625,0.0026498465,0.27877063
0.0,0.98799884,0.99955356,0.0,0.0,0.0,0.0,0.8374958,0.0,0.0027044755,0.0012179601,0.6318946,0.19218124,0.062296364,0.024847291
0.0,0.999468,0.99964035,0.0,0.0,0.0,0.96558726,0.0,0.36665192,0.35944587,0.44769987,0.00082262186,6.0213428e-05,0.00357325,0.008192929
0.0,0.9972854,0.9985187,0.0,0.0,0.0,0.04989463,0.0,0.28671083,0.0024844324,0.0035454738,0.0064844377,0.00406716,0.0069652433,0.019235631
0.0,0.99797636,0.9995163,0.0,0.4399565,0.0,0.0,0.0,0.79439795,0.010838956,0.0092358785,0.0011842507,0.00081931864,0.01928689,0.5828432
0.0,0.9988133,0.9993518,0.0,0.0,0.0,0.9640936,0.0,0.5439799,0.46108004,0.5479125,0.0010013579,4.5583758e-05,0.014432543,0.011050836
0.0,0.9985998,0.99938893,0.0,0.0,0.0,0.2091648,0.0,0.31070772,0.11559792,0.12783352,0.004500789,0.00022126485,0.0077193957,0.010507082
0.0,0.9946554,0.9981361,0.0,0.0,0.025413916,0.11169964,0.5250673,0.0,0.005478991,0.0053286836,0.26800045,0.007495451,0.032777242,0.60739094
0.0,0.99767816,0.99918497,0.0,0.08165173,0.0,0.0,0.0,0.0,0.0039664465,0.0022738478,0.006258573,0.025657877,0.023329731,0.00943375
0.0,0.9948952,0.99776906,0.0,0.0,0.0,0.0,0.9214356,0.0,0.00094286114,0.0005835763,0.9559799,0.03724466,0.0050870865,0.002902825
0.0,0.9981986,0.9996463,0.0,0.37123638,0.0,0.0,0.0,0.0,0.007141768,0.0037478071,0.010773377,0.03275702,0.006271186,0.12098165
0.0,0.99873513,0.99962574,0.0,0.09157492,0.0,0.0,0.0,0.0,0.0030408248,0.0015306219,0.013846403,0.09434424,0.017813155,0.017039645
0.0,0.9981676,0.9995088,0.0,0.33208308,0.0,0.0,0.0,0.78091043,0.010220225,0.00725049,0.0010842005,0.001148534,0.050553087,0.49929237
0.0,0.9932271,0.99965656,0.0,0.0,0.0,0.0,0.7541218,0.0,0.0030092502,0.0013670855,0.54286367,0.22087905,0.06077762,0.02613621
0.0,0.99811894,0.9996497,0.0,0.0,0.0,0.0,0.69498384,0.42571622,0.008125615,0.007001948,0.00992609,0.0006513424,0.024218561,0.006248521
0.0,0.99589014,0.9951014,0.0,0.0,0.0,0.0,0.03187743,0.96253735,0.010752313,0.0075304266,0.0007815776,0.0009733732,0.03137603,0.43334234
0.0,0.9974117,0.9990943,0.0,0.2606868,0.0,0.0,0.0,0.54360855,0.008503078,0.009388655,0.004817752,0.0052278745,0.0021982966,0.6568794
0.0,0.9963386,0.9978249,0.0,0.0,0.0,0.0,0.94462293,0.0,0.00048815276,0.00033084338,0.98278725,0.028933674,0.007927037,0.0022580074
0.0,0.9982122,0.9978853,0.0,0.0,0.0,0.16199642,0.0,0.0,0.00085283397,0.0008227661,0.15364365,0.033984024,0.0113592185,0.037887122
0.0,0.99780995,0.9995314,0.0,0.15584853,0.0,0.0,0.0,0.0,0.0030828435,0.0014873459,0.015981782,0.13042633,0.012517661,0.026871711
0.0,0.99661696,0.9989861,0.0,0.0,0.0,0.0,0.7627057,0.27692607,0.0009826046,0.0010518548,0.16977742,0.005142784,0.0020406612,0.00752986
0.0,0.9951519,0.9986774,0.0,0.0,0.08796558,0.0,0.9949719,0.0,0.0040026917,0.0020384514,0.8859738,0.0680072,0.65005517,0.031202694
0.0,0.9972686,0.9996765,0.0,0.06433878,0.0,0.0,0.0,0.0,0.0032505644,0.0017199977,0.025276812,0.38273862,0.017876085,0.05463933
0.0,0.9981087,0.99893194,0.0,0.0,0.0,0.46817487,0.0,0.5296602,0.24332732,0.2797577,0.0019241936,7.1152404e-05,0.009024061,0.013408667
0.0,0.997784,0.9975514,0.0,0.0,0.0,0.0,0.0,0.26383433,0.0017368376,0.0020613591,0.010340901,0.0052988655,0.031885773,0.019942889
0.0,0.99942327,0.9996773,0.0,0.0,0.0,0.96341306,0.0,0.4861334,0.43223518,0.51913023,0.0006873751,4.2448894e-05,0.005597208,0.007845857
0.0,0.9961685,0.998521,0.0,0.0,0.0,0.0,0.9746236,0.0,0.0032115285,0.0028725062,0.99032205,0.004561829,0.036073323,0.007341064
0.0,0.9964262,0.99841565,0.0,0.0,0.0,0.0,0.8397291,0.18877223,0.0005156106,0.0003780246,0.96324635,0.015278086,0.0065526236,0.0015906056
0.0,0.9960885,0.99753135,0.0,0.0,0.0,0.8860924,0.11958194,0.0,0.3896248,0.40314254,0.019774353,0.00058001763,0.07756747,0.6948268
0.0,0.9969242,0.99768955,0.0,0.0,0.0,0.0,0.0,0.5267648,0.004944876,0.0065217023,0.0018847227,0.0068642297,0.0070457975,0.12337042
0.0,0.99735945,0.9973991,0.0,0.0,0.0,0.84287786,0.0,0.008278466,0.080531545,0.08529008,0.021011839,0.0018093152,0.05561476,0.7417927
0.0,0.99749243,0.9984945,0.0,0.0,0.0,0.0,0.012530178,0.06447549,0.00061495794,0.00061584654,0.22309235,0.03864141,0.018380089,0.018724138
0.0,0.99490297,0.99825644,0.0,0.31160092,0.0,0.0,0.0,0.85446143,0.010370271,0.0069577014,0.0008960693,0.0011918702,0.08468888,0.48681766
0.0,0.998479,0.9986457,0.0,0.0,0.0,0.971509,0.0,0.0,0.031331368,0.034044847,0.021410022,0.0030895818,0.021954177,0.7220522
0.0,0.9954555,0.99845695,0.0,0.0,0.0,0.0,0.9708012,0.0,0.0008168755,0.0005176626,0.96165115,0.034838133,0.004606108,0.0027522747
0.0,0.99594474,0.99950206,0.0,0.0,0.17103791,0.0,0.9979719,0.0,0.0038382006,0.0017494886,0.66620225,0.16608168,0.5444166,0.12869257
0.0,0.9981699,0.9993111,0.0,0.0,0.0,0.0,0.0,0.70008016,0.012313753,0.011864363,0.0019362615,0.0011693587,0.0026387635,0.25025067
0.0,0.99459076,0.9980816,0.0,0.0,0.0,0.0,0.98373127,0.0,0.0031311158,0.002206784,0.9899009,0.008556983,0.042059027,0.004862477
0.0,0.9984672,0.99815303,0.0,0.0,0.0,0.9628975,0.0,0.05973568,0.03400847,0.03986713,0.012813419,0.0019050674,0.018628774,0.54230136
0.0,0.9984492,0.99926835,0.0,0.38647708,0.0,0.0,0.0,0.4351429,0.013277522,0.007955632,0.0012174005,0.0035978807,0.10247845,0.040672455
0.0,0.9973274,0.99951875,0.0,0.5274507,0.0,0.0,0.0,0.0,0.009697869,0.0055259042,0.016949987,0.026015779,0.006634064,0.23749873
0.0,0.9974334,0.99810535,0.0,0.0,0.0,0.0,0.0,0.94226205,0.013239289,0.010878849,0.0011001376,0.0004801807,0.011165842,0.39362547
0.0,0.9976817,0.99912286,0.0,0.0,0.0,0.95118546,0.09027046,0.0,0.079577714,0.091714196,0.031519987,0.001957861,0.024603903,0.74524957
0.0,0.9986174,0.9974583,0.0,0.0,0.0,0.95654076,0.0,0.0,0.009840267,0.0108229,0.016274216,0.0051719295,0.006052632,0.52202165
0.0,0.99709356,0.9964134,0.0,0.19990547,0.0,0.0,0.2965659,0.003665878,0.0006344897,0.00041511666,0.9301297,0.086834475,0.0069822157,0.008030612
0.0,0.9963967,0.9994302,0.0,0.23814394,0.0,0.0,0.0,0.045998827,0.008419225,0.004599364,0.0045672148,0.0102812005,0.019464273,0.017166393
0.0,0.99912643,0.99955916,0.0,0.0,0.0,0.3172114,0.0,0.63367057,0.047187243,0.048285577,0.00037863053,0.00032161034,0.026820075,0.027929358
0.0,0.9959886,0.996132,0.0,0.0,0.0,0.0,0.28643563,0.0,0.0005618029,0.0005062951,0.430149,0.030958228,0.011969386,0.020351082
0.0,0.9966673,0.99793476,0.0,0.0,0.0,0.0,0.97308946,0.0,0.0018963035,0.0012129985,0.9831408,0.011320514,0.027408484,0.002734032
0.0,0.9976818,0.9994353,0.0,0.42140293,0.0,0.0,0.0,0.7090547,0.0110257,0.008712838,0.0013697135,0.0014346582,0.054021813,0.5558238
0.0,0.9980717,0.99741536,0.0,0.0,0.0,0.055724204,0.0,0.09829015,0.0009084888,0.0011368396,0.05120429,0.011779991,0.014271438,0.014857513
0.0,0.99641705,0.9982039,0.0,0.0,0.0,0.95382667,0.0,0.0,0.08239092,0.0900316,0.023447568,0.0019402575,0.040573757,0.7701812
0.0,0.9980192,0.9995429,0.0,0.089795336,0.0,0.0,0.0,0.0,0.003058667,0.0016592558,0.021925494,0.3649234,0.013825947,0.068295
0.0,0.9980666,0.99581456,0.0,0.0,0.0,0.17401963,0.0,0.0,0.00091012544,0.0009490268,0.15532506,0.028272597,0.010131512,0.029212438
0.0,0.99762726,0.9982677,0.0,0.0,0.0,0.0,0.0,0.395129,0.0027804303,0.0039643934,0.002958461,0.008717114,0.00858359,0.06384174
0.0,0.998626,0.9993428,0.0,0.0,0.0,0.8313106,0.0,0.36794725,0.3939331,0.47542754,0.0013870792,5.5133998e-05,0.01016048,0.009997611
0.0,0.9952409,0.9987922,0.0,0.0,0.0,0.0,0.9545049,0.12751591,0.00091776677,0.000597883,0.94630694,0.023431875,0.0055855615,0.002093412
0.0,0.99357027,0.9996821,0.0,0.0,0.17081958,0.0,0.9986219,0.0,0.0020461602,0.000968594,0.22772084,0.22140391,0.112018496,0.267225
0.0,0.9908913,0.9990604,0.0,0.0,0.0,0.0,0.8754593,0.30765063,0.00086769107,0.00091912056,0.2260054,0.0052334494,0.0015710868,0.0068283156
0.0,0.99654424,0.9996332,0.0,0.36302197,0.0,0.0,0.0,0.0,0.0057284296,0.0030093605,0.011096691,0.04681222,0.0057653585,0.11930631
0.0,0.9986872,0.9993255,0.0,0.33910567,0.0,0.0,0.0,0.54481065,0.011095533,0.0073714894,0.0007492593,0.00444415,0.20251106,0.0421574
0.0,0.9989378,0.9992977,0.0,0.0,0.0,0.96912795,0.0,0.3207589,0.42749727,0.5132603,0.0013155801,5.9472983e-05,0.008422744,0.011634112
0.0,0.99849695,0.99913174,0.0,0.5688949,0.0,0.0,0.0,0.61553264,0.012798807,0.014696817,0.007947523,0.007088863,0.0024530315,0.84368414
0.0,0.99837047,0.99830776,0.0,0.0,0.0,0.9585352,0.0,0.0,0.013235489,0.014493946,0.01777577,0.0046285735,0.008566098,0.6004052
0.0,0.99628836,0.9988987,0.0,0.0,0.0,0.0,0.9512445,0.0,0.0028665806,0.0022962387,0.99173635,0.008296081,0.044975862,0.0055051264
0.0,0.9974119,0.9985971,0.0,0.0,0.0,0.8480909,0.0,0.36687717,0.3803639,0.44653347,0.0014644432,5.8619316e-05,0.014893654,0.0115094185
0.0,0.9981731,0.9985833,0.0,0.0,0.0,0.8932177,0.0,0.0,0.008685358,0.009933196,0.016844045,0.0063350936,0.0038644427,0.4901798
0.0,0.9938311,0.99969673,0.0,0.0,0.062628955,0.0,0.9956055,0.0,0.002601007,0.0012952862,0.87407476,0.10409502,0.07955269,0.021464666
0.0,0.99882823,0.99935377,0.0,0.26858056,0.0,0.0,0.0,0.45206532,0.011973395,0.008326815,0.00087232346,0.004566062,0.16580284,0.034038316
0.0,0.9986158,0.99859935,0.0,0.0,0.0,0.010014787,0.0,0.37203458,0.0026293597,0.0035303242,0.0039943797,0.0049270135,0.020902721,0.06288276
0.0,0.99844706,0.9993271,0.0,0.20028578,0.0,0.0,0.0,0.24204445,0.010521196,0.0059760883,0.0020350358,0.006132292,0.07207981,0.016493967
0.0,0.99673957,0.9990578,0.0,0.0,0.0,0.0,0.84987277,0.2561282,0.00054577814,0.00040440998,0.9531573,0.010063464,0.007761216,0.001494219
0.0,0.9986135,0.99959266,0.0,0.0,0.0,0.91417444,0.0,0.30679345,0.44259003,0.5301568,0.0010316593,5.5285414e-05,0.0059099877,0.008508044
0.0,0.9958925,0.99684036,0.0,0.0,0.0,0.0,0.08965762,0.9574211,0.009914405,0.006208031,0.00092283014,0.001048753,0.11856557,0.4101621
0.0,0.99750704,0.9978441,0.0,0.25401402,0.0,0.0,0.13540447,0.0,0.000737799,0.0004906913,0.91019714,0.0926439,0.0062596756,0.012287278
0.0,0.99894094,0.9996372,0.0,0.27160123,0.0,0.0,0.0,0.2089766,0.012952787,0.007892799,0.0019997805,0.004182838,0.059556246,0.017242018
0.0,0.996392,0.9971314,0.0,0.0,0.0,0.0,0.9477178,0.0,0.0019175065,0.0012768132,0.98248863,0.009271977,0.03192068,0.0026712548
0.0,0.99825054,0.99959725,0.0,0.53740543,0.0,0.0,0.0,0.0,0.010769012,0.006318744,0.01726939,0.022648085,0.0071589346,0.25951037
0.0,0.9983778,0.9990245,0.0,0.0,0.0,0.0,0.016183913,0.22123426,0.021163208,0.023219889,0.009938577,0.0011526182,0.012064312,0.01602474
0.0,0.9965419,0.9987244,0.0,0.43407112,0.0,0.0,0.0,0.8616431,0.011096506,0.0079312865,0.0009122851,0.0014353462,0.09935708,0.5616036
0.0,0.9991523,0.9996499,0.0,0.19909978,0.0,0.0,0.0,0.16432798,0.012210974,0.007479703,0.0023104919,0.0046191323,0.05848843,0.013527172
0.0,0.9989589,0.9995197,0.0,0.25485766,0.0,0.0,0.0,0.42876697,0.011924277,0.008215737,0.00090356683,0.004709709,0.16619141,0.031070989
0.0,0.9995157,0.9995544,0.0,0.0,0.0,0.9767669,0.0,0.6203682,0.47435734,0.5666115,0.0007034607,3.9178223e-05,0.0074083735,0.009287435
0.0,0.99741864,0.9972553,0.0,0.0,0.0,0.0,0.0,0.9793,0.013072181,0.010580982,0.00096218183,0.00046628856,0.013793904,0.42866898
0.0,0.99097395,0.9987655,0.0,0.0,0.0,0.0,0.774976,0.30788532,0.0010184306,0.0011086927,0.13710174,0.005754171,0.0022697677,0.012938084
0.0,0.9939748,0.99625,0.0,0.0,0.02338053,0.0,0.9907766,0.0,0.0021793842,0.0013427915,0.9782642,0.013584834,0.046221122,0.0033082755
0.0,0.997437,0.9977478,0.0,0.0,0.0,0.9772776,0.0,0.0,0.07470581,0.07922957,0.022790791,0.001955867,0.04888514,0.77646756
0.0,0.9960316,0.9985703,0.0,0.0,0.0,0.0,0.9338214,0.06558225,0.00096423936,0.000610188,0.9435888,0.033014707,0.0045262505,0.0024382225
0.0,0.9981071,0.998764,0.0,0.0,0.0,0.48964217,0.0,0.610764,0.24308011,0.28368536,0.0017331558,7.112798e-05,0.010262222,0.016026553
0.0,0.99914145,0.99964446,0.0,0.16222197,0.0,0.0,0.0,0.44950637,0.011676188,0.008949205,0.0007760009,0.00461728,0.18177484,0.03391669
0.0,0.9945143,0.99816906,0.0,0.0,0.0,0.2657347,0.51203966,0.0,0.008155524,0.00794721,0.18737058,0.0053799115,0.025606014,0.61089593
